"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"B.Cu (mm)";
001;"GND";15;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
002;"/Osc";4;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
003;"VSS";5;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
004;"VS";8;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
005;"Net-(D1-A)";4;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
006;"Net-(D2-A)";4;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
007;"Net-(D3-A)";4;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
008;"Net-(D7-A)";4;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
009;"/Vref";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
010;"/Sync";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
012;"/Clk";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
013;"/CW";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
014;"/Home";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
015;"/EN";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
016;"/Half";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
017;"/RESET";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
018;"/Ctrl";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
019;"/Rs1";3;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
020;"/Rs2";3;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
021;"Net-(U1-C)";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
022;"Net-(U1-INH1)";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
023;"Net-(U1-A)";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
024;"Net-(U1-D)";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
025;"Net-(U1-B)";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
026;"Net-(U1-INH2)";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
